#TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing)
,xorg-server,
,xorg-xwininfo,
,xorg-xinit,
,polkit,
,ttf-font-awesome,
,tff-roboto,
,tff-roboto-mono,
,xorg-xprop,
,arandr,
,dosfstools,
,kate, 
,exfat-utils,
,ffmpeg,
,ffmpegthumbnailer,
,neovim,
A,linux-tkg-pds, 
A,linux-tkg-pds-headers,
,nvidia-dkms, 
,tealdeer, 
,konsole, 
,librewolf
,acpi,
,acpid-s6,
,alsa-firmware,
,alsa-utils-s6,
,apparmor,
,apparmor-s6,
,amd-ucode,
,bleachbit,
,avahi-s6,
,blueman,
,bluez-s6,
,ark,
,catfish,
,clamav-s6,
,clamav,
,devilspie,
,cups-s6,
,gufw,
,cryptsetup-s6,
,cronie-s6, 
,dhcpcd-s6,
,dkms,
,dnscrypt-proxy,
,dnscrypt-proxy-s6,
,elogind-s6,
,evince,
,f2fs-tools,
,fail2ban,
,fail2ban-s6,
,filelight,
,gamemode,
,lib32-gamemode,
,gimp,
,font-manager,
,gnome-calculator,
,gnome-keyring,  
,gnome-screenshot,
,gwenview,
,haveged-s6,
,intel-ucode,
,jdownloader2,
,lib32-nvidia-utils,
,nvidia-utils,
,vulkan-icd-loader,
,lib32-vulkan-icd-loader,
,ksysguard,
,lightdm-s6,
,liferea,
,lightdm-gtk-greeter,
,lightdm-gtk-greeter-settings,
,lvm2-s6,
,macchanger,
A,mystiq,
,mugshot,
,networkmanager,
,networkmanager-s6,
,ntp-s6,
,nfs-utils-s6,
,nvidia-settings,
,nvidia-utils-s6,
,nm-connection-editor,
,xterm,
,wpa_supplicant-s6,
,wine,
,wine-mono,
,winetricks,
,ufw,
,ufw-s6,
,pcmanfm,
,pavucontrol,
,qbittorrent,
,psensor,
,pulseaudio-alsa,
,redshift,
,raw-thumbnailer,
,rkhunter,
,s6-dns,
,rsync,
,rsync-s6,
,noto-fonts,
,noto-fonts-emoji,
,socat,
,moreutils,
,openssh-s6,
,ntfs-3g,
,wireplumber,
,pipewire-pulse,
,steam, 
,pulsemixer,
,lynis, 
,unclutter,
,unzip,
,sneedacity, 
,xclip,
,xdotool,
,xorg-xdpyinfo,
,element-desktop,
,tmux, 
,xorg-xbacklight,
